ORIG_PARCEL_ID,YrBuilt_wt,YrBuilt_main,EffYr_wt,EffYr_main,BldgGrossSqFt,BldgNetSqFt,name,address,SITUS_ZIP_NR,SITUS_ADDRESS,OBJECTID,FIPS_NR,COUNTY_NM,PARCEL_ID_NR,SUB_ADDRESS,SITUS_CITY_NM,LANDUSE_CD,VALUE_LAND,VALUE_BLDG,DATA_LINK,FILE_DATE,GlobalID,Shape__Area,Shape__Length,name_orig,school,established,neighborhood,nickname,spring_2023_enrollment
3526039024,1958,1958,1980,1980,31391,31391,north beach,"9018 24th Ave. NW
Seattle, WA 98117",98117,9018 24TH AVE NW,1060171,033,King,033-3526039024,W 1/2 OF SW 1/4 OF NW 1/4 OF SE 1/4 & SW 1/4*,SEATTLE,68,0,0,https://blue.kingcounty.com/Assessor/eRealProperty/Dashboard.aspx?ParcelNbr=3526039024,1/20/2023 8:00:00 AM,39d72929-fa0d-482d-aacf-28e5deaa1ebc,301240.758850098,2598.12805529555,North Beach Elementary,North Beach,1958,Ballard,Seals,365
3693901110,1907,1907,2019,2019,52287,52287,licton springs,"3015 NW 68th St.
Seattle, WA 98117",98117,3015 NW 68TH ST,1046469,033,King,033-3693901110,JENNINGS BALLARD ADD LOTS 4-5-6 BLOCK 27 TGW ALL *,SEATTLE,68,0,0,https://blue.kingcounty.com/Assessor/eRealProperty/Dashboard.aspx?ParcelNbr=3693901110,1/20/2023 8:00:00 AM,d7b4f5b9-f3e1-42a3-8db7-fc2caa5db613,67480.1818847656,1099.79439473059,Licton Springs K-8,Licton Springs,2014,"Licton Springs, Seattle",NA,118
3812400550,2004,2004,2004,2004,67592,67592,martin luther king jr,"6725 45th Ave. S
Seattle, WA 98118",98118,6725 45TH AVE S,1038133,033,King,033-3812400550,KELSEYS BRIGHTON BEACH ACRE TRS LESS ST,SEATTLE,68,0,0,https://blue.kingcounty.com/Assessor/eRealProperty/Dashboard.aspx?ParcelNbr=3812400550,1/20/2023 8:00:00 AM,767a79e5-b6a6-481b-9bfc-49dbf1a844b1,34150.5378417969,824.332222433768,"Martin Luther King, Jr. Elementary",Martin Luther King Jr.,1904,Brighton,NA,286
3869400560,1983,1971,1993,1985,48407,48407,maple,"4925 Corson Ave. S
Seattle, WA 98108",98108,4925 CORSON AVE S,1032271,033,King,033-3869400560,KING COUNTY 2ND ADD  BLKS 5 THRU 7 L*,SEATTLE,68,0,0,https://blue.kingcounty.com/Assessor/eRealProperty/Dashboard.aspx?ParcelNbr=3869400560,1/20/2023 8:00:00 AM,f42204bf-4a34-4c64-9df9-b9ec271eb36f,279457.270202637,2367.57596330584,Maple Elementary,Maple,1865,Beacon Hill,Monarchs,436
4206901020,1913,1918,1990,1990,56382,56382,john stanford international,"4057 5th Ave. NE
Seattle, WA 98105",98105,4057 5TH AVE NE,1000449,033,King,033-4206901020,LATONA ADD,SEATTLE,68,0,0,https://blue.kingcounty.com/Assessor/eRealProperty/Dashboard.aspx?ParcelNbr=4206901020,1/20/2023 8:00:00 AM,3d5bf18a-c7e9-447e-89bb-88dd6d373371,96232.5556640625,1361.54501019649,John Stanford International Elementary,John Stanford Int'l,1891,Wallingford,NA,429
4240400005,1999,1999,2005,2005,66000,66000,whittier,"1320 NW 75th St.
Seattle, WA 98117",98117,7501 13TH AVE NW,996914,033,King,033-4240400005,LEARY ACRE TRACTS TRACTS 1 & 2 PLAT OF LEARY ACRE*,SEATTLE,68,0,0,https://blue.kingcounty.com/Assessor/eRealProperty/Dashboard.aspx?ParcelNbr=4240400005,1/20/2023 8:00:00 AM,fbd9f252-8f81-421e-81ca-8cca1090490e,115892.06262207,1404.26216262303,Whittier Elementary,Whittier,1908,Ballard,Wildcats,364
4315700020,1910,1910,1991,1991,53189,53189,gatewood,"4320 SW Myrtle St.
Seattle, WA 98136",98136,4320 SW MYRTLE ST,993858,033,King,033-4315700020,LINCOLN BEACH ADD   W 90 FT OF LOT *,SEATTLE,68,0,0,https://blue.kingcounty.com/Assessor/eRealProperty/Dashboard.aspx?ParcelNbr=4315700020,1/20/2023 8:00:00 AM,becfb936-bf9b-4696-964c-6432ad1e6bd3,159780.496520996,1742.7687200984,Gatewood Elementary,Gatewood,1910,Gatewood,Gators,366
4443801580,1998,2017,2019,2019,140613,140613,loyal heights,"7735 25th Ave. NW
Seattle, WA 98117",98117,7735 25TH AVE NW,987107,033,King,033-4443801580,LOYAL HEIGHTS DIV # 6  & VAC ALLEY,SEATTLE,68,0,0,https://blue.kingcounty.com/Assessor/eRealProperty/Dashboard.aspx?ParcelNbr=4443801580,1/20/2023 8:00:00 AM,d3495162-2a21-4c72-8e77-79ff6301644f,124104.427124023,1624.51265771127,Loyal Heights Elementary,Loyal Heights,1919,Ballard,Beavers,499
5100404840,1989,1989,1989,1989,56614,56614,olympic view,"504 NE 95th St.
Seattle, WA 98115",98115,504 NE 95TH ST,980092,033,King,033-5100404840,MAPLE LEAF TO GREEN LAKE CIRCLE VAC TGW POR VAC*,SEATTLE,68,0,0,https://blue.kingcounty.com/Assessor/eRealProperty/Dashboard.aspx?ParcelNbr=5100404840,1/20/2023 8:00:00 AM,ac70dbd8-057a-44ab-b4bc-f9496c6a608e,187217.7890625,1852.45008338737,Olympic View Elementary,Olympic View,1903,Maple Leaf,Eagles,365
5318100820,1917,1900,1998,1995,40653,40653,mcgilvra,"1617 38th Ave. E
Seattle, WA 98112",98112,1617 38TH AVE E,967856,033,King,033-5318100820,MC GILVRAS J J 3RD ADD REPLAT & VAC ALLEY ADJ*,SEATTLE,68,0,0,https://blue.kingcounty.com/Assessor/eRealProperty/Dashboard.aspx?ParcelNbr=5318100820,1/20/2023 8:00:00 AM,0201a789-e476-4136-98d5-188233949468,108186.547485352,1321.25246964106,McGilvra Elementary,McGilvra,1899,Madison Park,Wildcats,222
5364200330,1942,1941,1974,1975,45398,45398,laurelhurst,"4530 46th Ave. NE
Seattle, WA 98105",98105,4530 46TH AVE NE,966637,033,King,033-5364200330,MC LAUGHLINS LAWN ACRES  LESS ST,SEATTLE,68,0,0,https://blue.kingcounty.com/Assessor/eRealProperty/Dashboard.aspx?ParcelNbr=5364200330,1/20/2023 8:00:00 AM,96262cff-3b84-4fb5-b2a0-446b9b0ab2ee,118316.438598633,1595.35999588956,Laurelhurst Elementary,Laurelhurst,1928,Laurelhurst,Bears,280
